Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
640460,1983/03/17,"13 h 45 min 12 sec","BEARN (ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,435211.23,6225899.30,43.08,-0.25,3.5,"INFORMATION ISOLÉE"
40163,1983/03/20,"16 h 1 min 31 sec","PREALPES DE DIGNE (SEYNE-LES-ALPES)","ALPES PROVENCALES",,966725.33,6372432.08,44.40,6.35,5,"ASSEZ SURE"
40164,1983/03/20,"21 h 50 min 26 sec","PREALPES DE DIGNE (SEYNE-LES-ALPES)","ALPES PROVENCALES",REPLIQUE,966725.33,6372432.08,44.40,6.35,4,"ASSEZ SURE"
740129,1983/03/21,"5 h 14 min 57 sec","CHABLAIS (MORZINE)","ALPES SAVOYARDES",,985295.49,6571518.49,46.18,6.70,4,INCERTAINE
870024,1983/03/21,"16 h 45 min 5 sec","BASSE-MARCHE (LE DORAT)",LIMOUSIN,PRECURSEUR,545746.27,6566786.73,46.18,1.00,2.5,INCERTAINE
870025,1983/03/23,"6 h 53 min 5 sec","BASSE-MARCHE (LE DORAT)",LIMOUSIN,,545746.27,6566786.73,46.18,1.00,3.5,INCERTAINE
640451,1983/03/26,"4 h 37 min 15 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,394591.06,6229555.87,43.10,-0.75,3.5,"ASSEZ SURE"
640452,1983/03/30,"18 h 11 min 19 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,393057.97,6225918.59,43.07,-0.77,5,INCERTAINE
50092,1983/04/13,"8 h 49 min 31 sec","QUEYRAS (REOTIER-SAINT-CREPIN)","ALPES DAUPHINOISES",,987821.18,6404869.66,44.68,6.63,4,"ASSEZ SURE"
640453,1983/04/17,"11 h 38 min 49 sec","BEARN (ARTIX)","PYRENEES OCCIDENTALES",,411017.63,6262180.83,43.40,-0.57,4,"INFORMATION ISOLÉE"
870026,1983/04/21,"1 h 53 min 8 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,,549327.60,6555588.57,46.08,1.05,5,"ASSEZ SURE"
870027,1983/04/21,"5 h 58 min 48 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,REPLIQUE,549327.60,6555588.57,46.08,1.05,3,"ASSEZ SURE"
870028,1983/04/21,"19 h 7 min 2 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,REPLIQUE,549327.60,6555588.57,46.08,1.05,4,"ASSEZ SURE"
870029,1983/04/21,"23 h 31 min 14 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,REPLIQUE,549327.60,6555588.57,46.08,1.05,3.5,INCERTAINE
870030,1983/04/22,"3 h 55 min 13 sec","BASSE-MARCHE (BELLAC)",LIMOUSIN,REPLIQUE,549327.60,6555588.57,46.08,1.05,,
60116,1983/04/23,"0 h 18 min 28 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES",,1062596.51,6323446.72,43.92,7.52,4,INCERTAINE
790028,1983/04/26,"22 h 56 min 6 sec","BOCAGE VENDEEN (GLENAY)",POITOU,,452428.10,6643966.46,46.85,-0.25,2,INCERTAINE
790029,1983/04/26,"22 h 58 min 7 sec","BOCAGE VENDEEN (GLENAY)",POITOU,REPLIQUE,452504.27,6645816.00,46.87,-0.25,,
640454,1983/06/06,"1 h 29 min 48 sec","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",,428269.38,6222479.48,43.05,-0.33,5,"ASSEZ SURE"
290035,1983/06/08,"18 h 40 min","LEON (GUILERS)",BRETAGNE,,139569.88,6838010.29,48.40,-4.58,,
